id,name,year,Przestępstwa ogółem,Przestępstwa o charakterze kryminalnym,Przestępstwa o charakterze gospodarczym,Przestępstwa przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe,Przestępstwa przeciwko życiu i zdrowiu,Przestępstwa przeciwko mieniu,"Przestępstwa przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem",Przestępstwa przeciwko rodzinie i opiece,Przestępstwa przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem,Wskaźnik wykrywalności sprawców przestępstw stwierdzonych przez Policję - ogółem
0,POLSKA,2002,1404229,1083854,109698,163012,33866,890085,47816,48026,165604,54.9
0,POLSKA,2003,1466643,1101387,151596,168827,32288,932393,47395,46262,171890,55.2
0,POLSKA,2004,1461217,1085295,152148,177296,32925,901860,47395,40322,179755,56.2
0,POLSKA,2005,1379962,1000096,136801,196486,31736,811971,45890,34636,198860,58.6
0,POLSKA,2006,1287918,893389,145314,197712,32412,706703,47131,35501,200034,62.4
0,POLSKA,2007,1152993,794317,143108,168359,32841,621413,45185,35475,170250,64.6
0,POLSKA,2008,1082057,735218,135305,167984,32477,577093,42687,32954,169458,65.9
0,POLSKA,2009,1129577,763597,151265,168148,31708,591261,43374,39766,169474,67.1
0,POLSKA,2010,1138523,778905,154341,156744,30911,607464,41464,38540,157632,67.9
0,POLSKA,2011,1159554,794102,151655,164572,31383,618648,42662,37998,165624,68.7
0,POLSKA,2012,1119803,781340,141483,155906,29734,598898,44155,32379,156939,67.8
0,POLSKA,2013,1061239,727718,159624,140925,25617,566353,40370,35935,143884,67.0
0,POLSKA,2014,867855,589147,161135,86680,20218,472515,33324,34289,87940,65.2
0,POLSKA,2015,799779,522546,167741,76359,17266,439871,27661,27751,83207,64.7
0,POLSKA,2016,748459,490328,150386,73479,18008,391861,31144,24098,85164,66.5
0,POLSKA,2017,753963,463907,189871,68571,18705,372594,31144,32892,78381,71.7
0,POLSKA,2018,768049,491732,180739,65972,17505,348914,33310,85899,73476,73.4
0,POLSKA,2019,796557,507183,187367,71266,16581,378041,46504,69861,77823,73.1
0,POLSKA,2020,765408,469971,198163,66507,14029,370042,36310,57654,72562,73.3
0,POLSKA,2021,820846,489052,224775,70727,13403,418041,35672,56566,77585,71.2
0,POLSKA,2022,862432,490934,263761,68979,13301,429909,34409,47967,75776,71.1
0,POLSKA,2023,792014,466241,225979,60932,13187,409114,34452,46639,66682,71.5
10000000000,MAKROREGION POŁUDNIOWY,2002,288831,239851,19376,20941,7188,200184,9268,10437,21665,46.7
10000000000,MAKROREGION POŁUDNIOWY,2003,322014,253485,38776,22162,6937,226650,10176,10667,23080,48.7
10000000000,MAKROREGION POŁUDNIOWY,2004,329142,259491,35415,24875,7192,218576,10327,9288,25534,50.4
10000000000,MAKROREGION POŁUDNIOWY,2005,308594,240535,28555,29599,6850,195104,10287,7425,30320,53.0
10000000000,MAKROREGION POŁUDNIOWY,2006,289250,216467,31531,29395,7485,171434,11301,8282,30101,57.0
10000000000,MAKROREGION POŁUDNIOWY,2007,251691,188816,27707,25088,7715,147348,10862,8941,25653,58.3
10000000000,MAKROREGION POŁUDNIOWY,2008,235659,173544,29086,24521,7876,135796,10454,7986,24913,60.5
10000000000,MAKROREGION POŁUDNIOWY,2009,245738,180045,31305,25264,7546,141221,10679,9604,25574,61.8
10000000000,MAKROREGION POŁUDNIOWY,2010,263326,189031,40421,24052,7045,149035,10865,9513,24191,64.5
10000000000,MAKROREGION POŁUDNIOWY,2011,270516,196353,38699,23902,7756,155180,10686,9333,24103,65.7
10000000000,MAKROREGION POŁUDNIOWY,2012,264493,191413,41090,23013,7264,143492,11871,7249,23224,66.9
10000000000,MAKROREGION POŁUDNIOWY,2013,245049,171927,45096,21752,6148,132520,9093,8386,21999,66.2
10000000000,MAKROREGION POŁUDNIOWY,2014,205055,134791,47304,16778,4800,107634,7262,7975,17058,67.0
10000000000,MAKROREGION POŁUDNIOWY,2015,186463,117368,47070,14833,3978,99531,6345,6266,16145,67.9
10000000000,MAKROREGION POŁUDNIOWY,2016,178382,109764,47523,13797,4103,86495,6542,5121,16368,71.5
10000000000,MAKROREGION POŁUDNIOWY,2017,194089,107421,67497,12227,4335,87974,6317,6328,14246,78.3
10000000000,MAKROREGION POŁUDNIOWY,2018,184864,109653,56921,11681,4102,78930,6541,18241,13337,78.3
10000000000,MAKROREGION POŁUDNIOWY,2019,188874,108696,60948,12512,3777,90038,6683,13853,13885,77.8
10000000000,MAKROREGION POŁUDNIOWY,2020,186806,99155,70568,10609,3023,84842,6579,11363,11917,78.9
10000000000,MAKROREGION POŁUDNIOWY,2021,191036,99247,70965,11713,2753,99931,6903,10876,13219,75.5
10000000000,MAKROREGION POŁUDNIOWY,2022,228036,104746,100707,12086,2841,98078,7996,9407,13628,78.3
10000000000,MAKROREGION POŁUDNIOWY,2023,183970,98547,66833,10984,2823,93352,6375,9563,12298,76.2
11200000000,MAŁOPOLSKIE,2002,106208,86681,6987,8675,2490,70848,2922,3181,9039,48.0
11200000000,MAŁOPOLSKIE,2003,129312,93690,23378,9031,2508,89718,3604,3215,9450,52.7
11200000000,MAŁOPOLSKIE,2004,126953,98313,14922,9884,2508,82209,3546,3032,10053,52.6
11200000000,MAŁOPOLSKIE,2005,115179,89200,12790,10219,2215,68889,3375,2373,10329,53.7
11200000000,MAŁOPOLSKIE,2006,105630,79334,11720,11231,2240,58204,3703,2442,11325,58.7
11200000000,MAŁOPOLSKIE,2007,87006,64116,9829,9793,2468,48278,3562,2702,9904,58.1
11200000000,MAŁOPOLSKIE,2008,82445,59630,10007,9839,2322,44163,3686,2491,9918,61.5
11200000000,MAŁOPOLSKIE,2009,88216,62488,11824,10330,2496,47333,4009,2751,10396,63.9
11200000000,MAŁOPOLSKIE,2010,94302,68200,12691,9407,2303,50674,4302,2620,9391,66.1
11200000000,MAŁOPOLSKIE,2011,98443,72693,11378,9220,2028,55296,3688,2422,9279,68.1
11200000000,MAŁOPOLSKIE,2012,96920,72561,11896,9647,1979,50038,3012,2218,9698,68.0
