Województwo;name
dolnośląskie;powiat Wrocław
dolnośląskie;powiat Jelenia Góra
dolnośląskie;powiat Legnica
dolnośląskie;powiat Wałbrzych
dolnośląskie;powiat bolesławiecki
dolnośląskie;powiat dzierżoniowski
dolnośląskie;powiat głogowski
dolnośląskie;powiat górowski
dolnośląskie;powiat jaworski
dolnośląskie;powiat jeleniogórski
dolnośląskie;powiat kamiennogórski
dolnośląskie;powiat kłodzki
dolnośląskie;powiat legnicki
dolnośląskie;powiat lubański
dolnośląskie;powiat lubiński
dolnośląskie;powiat lwówecki
dolnośląskie;powiat milicki
dolnośląskie;powiat oleśnicki
dolnośląskie;powiat oławski
dolnośląskie;powiat polkowicki
dolnośląskie;powiat strzeliński
dolnośląskie;powiat średzki
dolnośląskie;powiat świdnicki
dolnośląskie;powiat trzebnicki
dolnośląskie;powiat wałbrzyski
dolnośląskie;powiat wołowski
dolnośląskie;powiat wrocławski
dolnośląskie;powiat ząbkowicki
dolnośląskie;powiat zgorzelecki
dolnośląskie;powiat złotoryjski
kujawsko-pomorskie;powiat Bydgoszcz
kujawsko-pomorskie;powiat Toruń
kujawsko-pomorskie;powiat Włocławek
kujawsko-pomorskie;powiat Grudziądz
kujawsko-pomorskie;powiat aleksandrowski
kujawsko-pomorskie;powiat brodnicki
kujawsko-pomorskie;powiat bydgoski
kujawsko-pomorskie;powiat chełmiński
kujawsko-pomorskie;powiat golubsko-dobrzyński
kujawsko-pomorskie;powiat grudziądzki
kujawsko-pomorskie;powiat inowrocławski
kujawsko-pomorskie;powiat lipnowski
kujawsko-pomorskie;powiat mogileński
kujawsko-pomorskie;powiat nakielski
kujawsko-pomorskie;powiat radziejowski
kujawsko-pomorskie;powiat rypiński
kujawsko-pomorskie;powiat sępoleński
kujawsko-pomorskie;powiat świecki
kujawsko-pomorskie;powiat toruński
kujawsko-pomorskie;powiat tucholski
kujawsko-pomorskie;powiat wąbrzeski
kujawsko-pomorskie;powiat włocławski
kujawsko-pomorskie;powiat żniński
lubelskie;powiat Lublin
lubelskie;powiat Biała Podlaska
lubelskie;powiat Chełm
lubelskie;powiat Zamość
lubelskie;powiat bialski
lubelskie;powiat biłgorajski
lubelskie;powiat chełmski
lubelskie;powiat hrubieszowski
lubelskie;powiat janowski
lubelskie;powiat krasnostawski
lubelskie;powiat kraśnicki
lubelskie;powiat lubartowski
lubelskie;powiat lubelski
lubelskie;powiat łęczyński
lubelskie;powiat łukowski
lubelskie;powiat opolski
lubelskie;powiat parczewski
lubelskie;powiat puławski
lubelskie;powiat radzyński
lubelskie;powiat rycki
lubelskie;powiat świdnicki
lubelskie;powiat tomaszowski
lubelskie;powiat włodawski
lubelskie;powiat zamojski
lubuskie;powiat Gorzów Wielkopolski
lubuskie;powiat Zielona Góra
lubuskie;powiat gorzowski
lubuskie;powiat krośnieński
lubuskie;powiat międzyrzecki
lubuskie;powiat nowosolski
lubuskie;powiat słubicki
lubuskie;powiat strzelecko-drezdenecki
lubuskie;powiat sulęciński
lubuskie;powiat świebodziński
lubuskie;powiat wschowski
lubuskie;powiat zielonogórski
lubuskie;powiat żagański
lubuskie;powiat żarski
łódzkie;powiat Łódź
łódzkie;powiat Piotrków Trybunalski
łódzkie;powiat Skierniewice
łódzkie;powiat bełchatowski
łódzkie;powiat brzeziński
łódzkie;powiat kutnowski
łódzkie;powiat łaski
łódzkie;powiat łęczycki
łódzkie;powiat łowicki
łódzkie;powiat łódzki wschodni
łódzkie;powiat opoczyński
łódzkie;powiat pabianicki
łódzkie;powiat pajęczański
łódzkie;powiat piotrkowski
łódzkie;powiat poddębicki
łódzkie;powiat radomszczański
łódzkie;powiat rawski
łódzkie;powiat sieradzki
łódzkie;powiat skierniewicki
łódzkie;powiat tomaszowski
łódzkie;powiat wieluński
łódzkie;powiat wieruszowski
łódzkie;powiat zduńskowolski
łódzkie;powiat zgierski
małopolskie;powiat Kraków
małopolskie;powiat Nowy Sącz
małopolskie;powiat Tarnów
małopolskie;powiat bocheński
małopolskie;powiat brzeski
małopolskie;powiat chrzanowski
małopolskie;powiat dąbrowski
małopolskie;powiat gorlicki
małopolskie;powiat krakowski
małopolskie;powiat limanowski
małopolskie;powiat miechowski
małopolskie;powiat myślenicki
małopolskie;powiat nowosądecki
małopolskie;powiat nowotarski
małopolskie;powiat olkuski
małopolskie;powiat oświęcimski
małopolskie;powiat proszowicki
małopolskie;powiat suski
małopolskie;powiat tarnowski
małopolskie;powiat tatrzański
małopolskie;powiat wadowicki
małopolskie;powiat wielicki
mazowieckie;powiat Warszawa
mazowieckie;powiat Ostrołęka
mazowieckie;powiat Płock
mazowieckie;powiat Radom
mazowieckie;powiat Siedlce
mazowieckie;powiat białobrzeski
mazowieckie;powiat ciechanowski
mazowieckie;powiat garwoliński
mazowieckie;powiat gostyniński
mazowieckie;powiat grodziski
mazowieckie;powiat grójecki
mazowieckie;powiat kozienicki
mazowieckie;powiat legionowski
mazowieckie;powiat lipski
mazowieckie;powiat łosicki
mazowieckie;powiat makowski
